gestion,mes,dia,estacion,longitud,latitud,altura,Precipitación,Temperatura Máxima,Temperatura Mínima
2016,1,1,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.00,1.00
2016,1,2,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.50,2.20
2016,1,3,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,24.00,5.30
2016,1,4,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.30,2.20
2016,1,5,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.00,-0.20
2016,1,6,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.30,0.90
2016,1,7,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.90,3.80
2016,1,8,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.30,1.80
2016,1,9,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.00,3.00
2016,1,10,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.20,0.80
2016,1,11,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.70,5.60
2016,1,12,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,24.30,2.00
2016,1,13,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.40,5.50
2016,1,14,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.70,5.30
2016,1,15,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.50,0.70
2016,1,16,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.50,1.30
2016,1,17,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.70,2.50
2016,1,18,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.40,21.00,3.30
2016,1,19,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.50,0.30
2016,1,20,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,24.00,0.40
2016,1,21,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.70,3.10
2016,1,22,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.30,-0.40
2016,1,23,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.80,1.00
2016,1,24,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,24.30,2.00
2016,1,25,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.60,2.30
2016,1,26,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.00,1.30
2016,1,27,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.00,0.30
2016,1,28,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.70,2.00
2016,1,29,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.70,6.80
2016,1,30,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,23.20,2.20
2016,1,31,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.40,
2016,2,1,Uyuni Aeropuerto,-66.846868,-20.442834,4000,8.60,14.00,7.30
2016,2,2,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.50,18.90,3.50
2016,2,3,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.40,1.70
2016,2,4,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.70,0.70
2016,2,5,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.40,0.30
2016,2,6,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.00,5.60
2016,2,7,Uyuni Aeropuerto,-66.846868,-20.442834,4000,7.20,22.80,9.30
2016,2,8,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.80,21.40,6.00
2016,2,9,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.90,6.90
2016,2,10,Uyuni Aeropuerto,-66.846868,-20.442834,4000,4.10,15.50,7.70
2016,2,11,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.30,3.60
2016,2,12,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.50,20.40,4.60
2016,2,13,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.50,6.30
2016,2,14,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.70,21.30,7.30
2016,2,15,Uyuni Aeropuerto,-66.846868,-20.442834,4000,5.30,20.30,6.30
2016,2,16,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.60,6.00
2016,2,17,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.80,6.70
2016,2,18,Uyuni Aeropuerto,-66.846868,-20.442834,4000,4.20,21.00,8.70
2016,2,19,Uyuni Aeropuerto,-66.846868,-20.442834,4000,3.80,16.70,7.70
2016,2,20,Uyuni Aeropuerto,-66.846868,-20.442834,4000,,21.00,3.90
2016,2,21,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.60,,
2016,2,22,Uyuni Aeropuerto,-66.846868,-20.442834,4000,4.30,21.30,8.50
2016,2,23,Uyuni Aeropuerto,-66.846868,-20.442834,4000,8.40,21.60,8.30
2016,2,24,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.40,21.60,8.30
2016,2,25,Uyuni Aeropuerto,-66.846868,-20.442834,4000,1.00,17.50,6.10
2016,2,26,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.20,6.30
2016,2,27,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.30,3.00
2016,2,28,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.50,5.20
2016,2,29,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.20,7.20
2016,3,1,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.70,6.20
2016,3,2,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.00,5.40
2016,3,3,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.00,3.90
2016,3,4,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.80,2.70
2016,3,5,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,22.10,2.00
2016,3,6,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.60,1.70
2016,3,7,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.70,2.60
2016,3,8,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.60,1.30
2016,3,9,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.00,1.70
2016,3,10,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.20,1.60
2016,3,11,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.60,1.40
2016,3,12,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.20,-0.40
2016,3,13,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.10,-3.70
2016,3,14,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.70,0.90
2016,3,15,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.30,2.60
2016,3,16,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.60,1.70
2016,3,17,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.00,0.70
2016,3,18,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,18.80,-3.00
2016,3,19,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.70,2.20
2016,3,20,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.00,-1.50
2016,3,21,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.80,-0.30
2016,3,22,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.40,1.00
2016,3,23,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.30,5.90
2016,3,24,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.50,0.70
2016,3,25,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.60,-6.70
2016,3,26,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.70,-5.60
2016,3,27,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.00,-2.00
2016,3,28,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.00,-0.40
2016,3,29,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.20,-4.30
2016,3,30,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.00,-6.00
2016,3,31,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.30,-0.60
2016,4,1,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.00,-0.70
2016,4,2,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.90,-2.10
2016,4,3,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.40,-0.40
2016,4,4,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,19.70,2.00
2016,4,5,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,21.70,6.30
2016,4,6,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,20.70,3.00
2016,4,7,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,18.20,3.00
2016,4,8,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,18.60,3.20
2016,4,9,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.00,3.00
2016,4,10,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,18.00,-1.00
2016,4,11,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,18.50,-5.30
2016,4,12,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.60,-4.80
2016,4,13,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.40,-6.30
2016,4,14,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.40,-7.30
2016,4,15,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.00,-7.40
2016,4,16,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.70,-7.00
2016,4,17,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,17.70,2.80
2016,4,18,Uyuni Aeropuerto,-66.846868,-20.442834,4000,4.60,18.30,4.40
2016,4,19,Uyuni Aeropuerto,-66.846868,-20.442834,4000,6.30,16.50,4.70
2016,4,20,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.60,4.70
2016,4,21,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.00,-4.20
2016,4,22,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.40,-5.00
2016,4,23,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.70,-7.30
2016,4,24,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.20,-5.70
2016,4,25,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.00,-7.60
2016,4,26,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.80,-4.00
2016,4,27,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.00,-8.40
2016,4,28,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.70,-3.70
2016,4,29,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.40,-5.80
2016,4,30,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.00,-8.70
2016,5,1,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.30,-9.70
2016,5,2,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.80,-8.50
2016,5,3,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.20,-8.80
2016,5,4,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.00,-9.70
2016,5,5,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.80,-4.00
2016,5,6,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-4.70
2016,5,7,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.40,-8.00
2016,5,8,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.20,-7.90
2016,5,9,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.50,-7.20
2016,5,10,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.60,-5.30
2016,5,11,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.20,-6.30
2016,5,12,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.80,-7.60
2016,5,13,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.70,-11.30
2016,5,14,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.20,-8.30
2016,5,15,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.00,-8.40
2016,5,16,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.00,-9.50
2016,5,17,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.30,-7.70
2016,5,18,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.70,-10.30
2016,5,19,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,15.30,-10.40
2016,5,20,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,16.00,-11.50
2016,5,21,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.30,-12.20
2016,5,22,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.70,-8.20
2016,5,23,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.50,-9.70
2016,5,24,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.80,-11.00
2016,5,25,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-8.20
2016,5,26,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.50,-10.20
2016,5,27,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.20,-8.80
2016,5,28,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-7.20
2016,5,29,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-8.80
2016,5,30,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.40,-8.20
2016,5,31,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.60,-12.00
2016,6,1,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.00,-11.80
2016,6,2,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.20,-11.80
2016,6,3,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.40,-11.20
2016,6,4,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.00,-11.40
2016,6,5,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.20,-8.00
2016,6,6,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-7.00
2016,6,7,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.60,-7.20
2016,6,8,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.00,-10.20
2016,6,9,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,10.30,-9.60
2016,6,10,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,10.90,-11.50
2016,6,11,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.40,-11.50
2016,6,12,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.70,-12.80
2016,6,13,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.30,-9.40
2016,6,14,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.70,-9.20
2016,6,15,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.50,-13.70
2016,6,16,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,10.70,-13.70
2016,6,17,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.60,-11.00
2016,6,18,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-14.60
2016,6,19,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,,-16.00
2016,6,20,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.00,-14.00
2016,6,21,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.40,-18.20
2016,6,22,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.20,-18.60
2016,6,23,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,10.20,-11.00
2016,6,24,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,11.00,-9.30
2016,6,25,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,12.10,-5.20
2016,6,26,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,14.00,-7.20
2016,6,27,Uyuni Aeropuerto,-66.846868,-20.442834,4000,0.00,13.40,-10.60
2016,6,28,Uyuni Aeropuerto,-66.846868,-20.442834,4000,3.10,10.30,-11.00
